Year,Month,State,Location,Food,Ingredient,Species,Genus,Serotype/Genotype,Status,Illnesses,Hospitalizations,Fatalities
2005,August,California,Restaurant,"Bbq, Unspecified",,Bacillus cereus; Clostridium perfringens,Bacillus,,Suspected; Suspected,8,0,0
2005,June,California,Restaurant,"Chicken, Other",,Bacillus cereus; Clostridium perfringens,Bacillus,,Suspected; Suspected,6,0,0
2005,March,California,Office/Indoor Workplace,,,Bacillus cereus; Clostridium perfringens,Bacillus,,Suspected; Suspected,3,0,0
2005,May,California,Restaurant,Salad Bar,,Bacillus cereus; Clostridium perfringens,Bacillus,,Suspected; Suspected,3,0,0
2005,February,California,Restaurant,,,Bacillus cereus; Clostridium perfringens,Bacillus,,Suspected; Suspected,2,0,0
2005,March,California,Restaurant,"Taco, Fish",,Bacillus cereus; Clostridium perfringens,Bacillus,,Suspected; Suspected,2,0,0
2005,October,California,Restaurant,"Grapes, Unspecified",,Bacillus cereus; Clostridium perfringens; Bacterium,Bacillus,,Suspected; Suspected; Suspected,6,0,0
2005,January,California,Restaurant,Cupcakes,,Bacillus cereus; Staphylococcus aureus,Bacillus,,Suspected; Suspected,15,0,0
2005,May,California,Restaurant,"Leek; Carrots, Unspecified",,Bacillus cereus; Staphylococcus aureus,Bacillus,,Suspected; Suspected,6,0,0
2005,February,California,Restaurant,,,Bacillus cereus; Staphylococcus aureus,Bacillus,,Suspected; Suspected,4,0,0
2005,March,Kansas,Restaurant,"Ethnic Style, Buffet",,Bacillus cereus; Staphylococcus aureus,Bacillus,,Suspected; Suspected,4,0,0
2005,April,California,Restaurant,"Ribs, Pork",,Bacillus cereus; Staphylococcus aureus,Bacillus,,Suspected; Suspected,4,0,0
2005,April,California,Restaurant,"Steak, Beef Tips",Beef,Bacterium,Bacterium,,Suspected,75,0,0
2005,July,California,Camp,"Burrito, Bean",,Bacterium,Bacterium,,Suspected,39,,
2005,June,California,Restaurant,Multiple Foods,,Bacterium,Bacterium,,Suspected,17,0,0
2005,June,California,,"Burrito, Beef",,Bacterium,Bacterium,,Suspected,13,0,0
2005,March,California,Restaurant,"Pie, Cream",,Bacterium,Bacterium,,Suspected,9,0,0
2005,August,California,Private Home/Residence,"Gelatin, Unspecified",,Bacterium,Bacterium,,Suspected,8,0,0
2005,May,Minnesota,Restaurant,"Taco, Unspecified; Rice, Spanish; Refried Beans, Unspecified",,Bacterium,Bacterium,,Suspected,7,0,0
2005,May,California,Restaurant,,,Bacterium,Bacterium,,Suspected,6,0,0
2005,August,California,Restaurant,,,Bacterium,Bacterium,,Suspected,6,1,0
2005,October,California,Restaurant,,,Bacterium,Bacterium,,Suspected,5,0,0
2005,January,California,Restaurant,,,Bacterium,Bacterium,,Suspected,4,0,0
2005,August,California,,"Salad, Unspecified; Corn",,Bacterium,Bacterium,,Suspected,4,0,0
2005,April,California,Restaurant,,,Bacterium,Bacterium,,Suspected,3,0,0
2005,June,California,Restaurant,Multiple Foods,,Bacterium,Bacterium,,Suspected,3,,
2005,June,California,Restaurant,Oysters,,Bacterium,Bacterium,,Suspected,3,0,0
2005,August,California,,Popcorn,,Bacterium,Bacterium,,Suspected,3,0,0
2005,March,California,,"Cream, Unspecified",,Bacterium,Bacterium,,Suspected,2,0,0
2005,April,California,Restaurant,Multiple Foods,,Bacterium,Bacterium,,Suspected,2,,
2005,April,California,Restaurant,,,Bacterium,Bacterium,,Suspected,2,0,0
2005,February,Texas,,"Queso Fresco, Unpasteurized",,Brucella unknown,Brucella,,Confirmed,2,2,0
2005,May,Kansas,Private Home/Residence,,,Campylobacter coli,Campylobacter,,Suspected,2,1,0
2005,September,Colorado,Prison/Jail,"Milk, 1% Milk Pasteurized",Milk,Campylobacter jejuni,Campylobacter,,Confirmed,200,1,0
2005,May,Iowa,Religious Facility,"Whole Milk, Unpasteurized",Milk,Campylobacter jejuni,Campylobacter,,Confirmed,33,0,0
2005,May,Oklahoma,Catering Service,"Fajita, Chicken; Fajita, Beef; Onions; Peppers, Unspecified",,Campylobacter jejuni,Campylobacter,,Confirmed,28,1,0
2005,December,Colorado,,"Whole Milk, Unpasteurized",Milk,Campylobacter jejuni,Campylobacter,,Confirmed,22,0,0
2005,June,Alaska,,"Peas, Green",,Campylobacter jejuni,Campylobacter,,Confirmed,19,0,0
2005,June,Colorado,Grocery Store,"Potato Salad; Beans, Baked",,Campylobacter jejuni,Campylobacter,,Confirmed,14,0,0
2005,September,Arizona,,"Whole Milk, Unpasteurized",,Campylobacter jejuni,Campylobacter,,Confirmed,13,1,0
2005,October,Wisconsin,Religious Facility,"Liver, Chicken",,Campylobacter jejuni,Campylobacter,,Confirmed,13,2,0
2005,April,Oklahoma,,"Whole Milk, Unpasteurized; Goat Milk, Unpasteurized",Milk; Milk,Campylobacter jejuni,Campylobacter,,Confirmed,11,3,0
2005,June,Oklahoma,Restaurant; Private Home/Residence; Grocery Store,,,Campylobacter jejuni,Campylobacter,,Confirmed,11,1,0
2005,July,Wyoming,Private Home/Residence,"Whole Milk, Unpasteurized",,Campylobacter jejuni,Campylobacter,,Suspected,11,2,0
2005,August,Hawaii,Restaurant,,,Campylobacter jejuni,Campylobacter,,Confirmed,11,0,0
2005,September,Utah,,"Whole Milk, Unpasteurized",Milk,Campylobacter jejuni,Campylobacter,,Confirmed,11,0,0
2005,June,California,Private Home/Residence,,,Campylobacter jejuni,Campylobacter,,Suspected,6,0,0
2005,July,Wyoming,Private Home/Residence,,,Campylobacter jejuni,Campylobacter,,Confirmed,6,0,0
2005,October,Pennsylvania,Private Home/Residence,,,Campylobacter jejuni,Campylobacter,,Confirmed,5,,
2005,November,Colorado,,"Whole Milk, Unpasteurized",Milk,Campylobacter jejuni,Campylobacter,,Confirmed,5,0,0
2005,May,Kansas,,"Whole Milk, Unpasteurized",,Campylobacter jejuni,Campylobacter,,Confirmed,4,0,0
2005,May,Maryland,Restaurant,Caesar Salad,,Campylobacter jejuni,Campylobacter,,Confirmed,4,0,0
2005,March,Wyoming,,"Other Milk, Unpasteurized",,Campylobacter jejuni,Campylobacter,,Confirmed,3,0,0
2005,February,Washington,Restaurant,"Sandwich, Gyro",Leafy Green; Vine-Stalk Eg. Tomato,Campylobacter jejuni,Campylobacter,,Suspected,2,0,0
2005,June,Colorado,Restaurant,"Noodles, Unspecified; Quail, Unspecified",,Campylobacter jejuni; Bacillus cereus,Campylobacter,,Confirmed; Suspected,8,0,0
2005,August,Washington,Restaurant,"Liver, Chicken",,Campylobacter unknown,Campylobacter,,Confirmed,9,0,0
2005,May,Illinois,Restaurant,,,Campylobacter unknown,Campylobacter,,Confirmed,8,5,0
2005,June,Colorado,Restaurant,"Vegetable Dip, Unspecified",,Campylobacter unknown,Campylobacter,,Suspected,2,0,0
2005,October,California,School/College/University,,,Chemical or toxin,Chemical,,Suspected,166,0,0
2005,July,Florida,Restaurant,"Spaghetti, Unspecified; Beef, Chili",,Chemical or toxin,Chemical,,Suspected,7,,
2005,December,California,Restaurant,,,Chemical or toxin,Chemical,,Suspected,7,0,0
2005,September,Ohio,School/College/University,"Potato, Mashed",,Chemical or toxin,Chemical,,Suspected,5,0,0
2005,October,California,Grocery Store,"Meat, Unspecified; Beans, Unspecified",Legume,Chemical or toxin,Chemical,,Suspected,5,0,0
2005,December,California,Restaurant,"Soup, Broccoli",,Chemical or toxin,Chemical,,Suspected,4,0,0
2005,May,California,Restaurant,"Shrimp, Braised; Shrimp, Unspecified",,Chemical or toxin,Chemical,,Suspected,3,0,0
2005,July,California,Private Home/Residence,"Spice/Herb, Unspecified",,Chemical or toxin,Chemical,,Suspected,3,3,
2005,February,Ohio,,Peanuts,,Chemical or toxin,Chemical,,Suspected,2,0,0
2005,April,Florida,Restaurant,"Soda, Unspecified",,Chemical or toxin,Chemical,,Suspected,2,0,0
2005,May,California,Grocery Store,Horchata,,Chemical or toxin,Chemical,,Suspected,2,,
2005,September,California,Restaurant,"Chicken, Strips",,Chemical or toxin,Chemical,,Suspected,2,0,0
2005,December,Georgia,Restaurant,Creme-Filled Doughnut,,Chemical or toxin,Chemical,,Suspected,2,0,0
2005,December,New York,Restaurant,Taro,Root (Eg. Potato),Chemical or toxin,Chemical,,Confirmed,2,0,0
2005,March,Hawaii,Restaurant,"Fish, Roi",,Ciguatoxin,Ciguatoxin,,Confirmed,6,2,0
2005,June,Illinois,Restaurant,"Fish, Grouper",,Ciguatoxin,Ciguatoxin,,Confirmed,6,1,0
2005,July,Florida,Private Home/Residence,Sphyraena Barracuda,,Ciguatoxin,Ciguatoxin,,Confirmed,6,4,0
2005,January,Hawaii,Private Home/Residence,"Fish, Papio",Fin Fish,Ciguatoxin,Ciguatoxin,,Confirmed,4,0,0
2005,May,New York,Private Home/Residence,"Fish, Baracuda",Fin Fish,Ciguatoxin,Ciguatoxin,,Confirmed,4,1,0
2005,June,Hawaii,Private Home/Residence,"Fish, Baracuda",,Ciguatoxin,Ciguatoxin,,Confirmed,3,0,0
2005,September,Hawaii,Private Home/Residence,"Fish, Palani (Surgeon)",,Ciguatoxin,Ciguatoxin,,Confirmed,3,0,0
2005,June,Hawaii,Private Home/Residence,"Fish, Amberjack",Fin Fish,Ciguatoxin,Ciguatoxin,,Confirmed,2,0,0
2005,July,Hawaii,Private Home/Residence,"Fish, Ulua, Unspecified",Fin Fish,Ciguatoxin,Ciguatoxin,,Confirmed,2,0,0
2005,August,Hawaii,Private Home/Residence,"Fish, Ulua",,Ciguatoxin,Ciguatoxin,,Confirmed,2,0,0
2005,August,Alaska,Private Home/Residence,"Salmon, Unspecified",,Clostridium botulinum,Clostridium,,Confirmed,4,2,0
2005,August,Alaska,Private Home/Residence,Salmon Heads,,Clostridium botulinum,Clostridium,,Confirmed,4,2,0
2005,July,New Jersey,,"Fish, Fermented Fish",,Clostridium botulinum,Clostridium,,Confirmed,2,,
2005,November,California,Private Home/Residence,"Salmon, Unspecified",,Clostridium botulinum,Clostridium,,Confirmed,2,2,1
2005,November,Florida,Catering Service,"Chicken, Other",,Clostridium perfringens,Clostridium,,Suspected,338,0,0
2005,May,Wisconsin,Prison/Jail,"Chicken, Other",,Clostridium perfringens,Clostridium,,Confirmed,104,,0
2005,July,New Hampshire,Camp,"Roast Beef, Other",Beef,Clostridium perfringens,Clostridium,,Suspected,66,0,0
2005,November,Iowa,Catering Service,"Sandwich, Red Meat-Based",Sauces/ Dressings,Clostridium perfringens,Clostridium,,Confirmed,56,0,0
2005,May,California,Restaurant; Private Home/Residence,"Beef, Smoked",,Clostridium perfringens,Clostridium,,Suspected,40,1,0
2005,July,South Carolina,Restaurant,"Chicken, Bbq",,Clostridium perfringens,Clostridium,,Confirmed,27,2,0
2005,May,Pennsylvania,Restaurant; Catering Service; Grocery Store,"Sandwich, Beef",,Clostridium perfringens,Clostridium,,Suspected,25,0,0
2005,July,Wisconsin,Prison/Jail,"Gravy, Sausage",,Clostridium perfringens,Clostridium,,Confirmed,24,0,0
2005,June,California,Restaurant,"Ice Cream, Unspecified",,Clostridium perfringens,Clostridium,,Suspected,23,0,0
2005,November,Ohio,School/College/University,Turkey Dishes,,Clostridium perfringens,Clostridium,,Confirmed,21,0,0
2005,July,Oregon,Catering Service,"Chicken, Teriyaki",,Clostridium perfringens,Clostridium,,Confirmed,19,0,0
2005,April,Florida,Catering Service,"Roast Beef, Unspecified",,Clostridium perfringens,Clostridium,,Suspected,18,,
2005,February,Kansas,Private Home/Residence; Grocery Store,"Soup, Speciality, Other",,Clostridium perfringens,Clostridium,,Suspected,17,1,0
2005,April,California,Private Home/Residence,Other Food,,Clostridium perfringens,Clostridium,,Confirmed,17,0,0
2005,April,Louisiana,Restaurant,"Barbecue Sauce; Beef, Brisket",,Clostridium perfringens,Clostridium,,Confirmed,17,1,0
2005,June,New York,Catering Service,"Refried Beans, Unspecified",Legume,Clostridium perfringens,Clostridium,,Suspected,16,0,0
2005,March,New Hampshire,Restaurant,"Steak, Prime Rib",Beef,Clostridium perfringens,Clostridium,,Suspected,13,0,0
2005,June,Florida,Private Home/Residence,"Pork, Roasted",,Clostridium perfringens,Clostridium,,Confirmed,13,,
2005,November,Iowa,Restaurant,"Taco, Chicken",Chicken,Clostridium perfringens,Clostridium,,Suspected,11,0,0
2005,January,Florida,Unknown,Chicken And Noodles,,Clostridium perfringens,Clostridium,,Suspected,10,0,0
2005,March,Minnesota,Restaurant,"Refried Beans, Unspecified",,Clostridium perfringens,Clostridium,,Confirmed,10,0,0
2005,June,Georgia,Office/Indoor Workplace; Hospital,"Gravy, Beef; Roast Beef, Other",Beef,Clostridium perfringens,Clostridium,,Confirmed,10,0,0
2005,July,Minnesota,Restaurant,,,Clostridium perfringens,Clostridium,,Suspected,10,0,0
2005,May,Massachusetts,Restaurant,"Beef, Other",,Clostridium perfringens,Clostridium,,Suspected,9,1,0
2005,September,Pennsylvania,Restaurant,"Beef, Unspecified",,Clostridium perfringens,Clostridium,,Confirmed,9,0,0
2005,August,Colorado,Grocery Store,"Beef, Other",,Clostridium perfringens,Clostridium,,Confirmed,8,0,0
2005,August,Florida,Restaurant,"Steak, Prime Rib",,Clostridium perfringens,Clostridium,,Suspected,8,0,0
2005,November,New York,Restaurant; Private Home/Residence,,,Clostridium perfringens,Clostridium,,Confirmed,8,0,0
2005,December,Pennsylvania,Private Home/Residence,"Hot Dog, Unspecified",,Clostridium perfringens,Clostridium,,Suspected,8,,0
2005,July,Colorado,Catering Service,"Ground Beef, Hamburger; Sausage, Pork",,Clostridium perfringens,Clostridium,,Suspected,6,0,0
2005,February,Minnesota,Restaurant,"Steak, Prime Rib",,Clostridium perfringens,Clostridium,,Confirmed,5,0,0
2005,February,New York,Restaurant,"Pork, Unspecified",Pork,Clostridium perfringens,Clostridium,,Confirmed,5,0,0
2005,December,Colorado,Restaurant,"Pork, Other",Pork,Clostridium perfringens,Clostridium,,Suspected,5,0,0
2005,February,Washington,Restaurant,"Pork, Bbq",,Clostridium perfringens,Clostridium,,Confirmed,3,,
2005,May,California,Restaurant,"Steak, Prime Rib",,Clostridium perfringens,Clostridium,,Suspected,3,0,0
2005,September,Ohio,Restaurant; Catering Service,"Steak, Other",,Clostridium perfringens,Clostridium,,Confirmed,3,,
2005,August,Ohio,Restaurant,"Salad, Other",,Clostridium perfringens,Clostridium,,Suspected,2,0,0
2005,December,California,Restaurant,"Turkey, Unspecified",,Clostridium perfringens; Bacillus cereus,Clostridium,,Suspected; Suspected,26,1,1
2005,July,Pennsylvania,Catering Service,Pasta Salad,Vine-Stalk Eg. Tomato; Root (Eg. Potato); Pasta; Sauces/ Dressings,Clostridium perfringens; Bacillus cereus,Clostridium,,Confirmed; Suspected,22,0,0
2005,October,Michigan,Restaurant,"Burrito, Beef",,Clostridium perfringens; Bacillus cereus,Clostridium,,Suspected; Suspected,9,0,0
2005,December,California,Restaurant,"Chicken, Other",,Clostridium perfringens; Bacillus cereus,Clostridium,,Suspected; Suspected,5,0,0
2005,March,Florida,Restaurant,"Basil, Unspecified",Spices,Cyclospora cayatenensis,Cyclospora,,Confirmed,592,,
2005,April,Massachusetts,Banquet Facility,,,Cyclospora cayatenensis,Cyclospora,,Confirmed,58,0,0
2005,June,Connecticut,Restaurant,Bruschetta; House Salad,Spices,Cyclospora cayatenensis,Cyclospora,,Confirmed,30,1,0
2005,June,Massachusetts,Restaurant; Banquet Facility,,,Cyclospora cayatenensis,Cyclospora,,Suspected,16,0,0
2005,May,South Carolina,Restaurant,,,Cyclospora cayatenensis,Cyclospora,,Confirmed,6,0,0
2005,May,Illinois,Restaurant,,,"Escherichia coli, Enteropathogenic",Escherichia,,Confirmed,21,0,0
2005,April,Oregon,Restaurant,,,"Escherichia coli, Enteropathogenic",Escherichia,,Confirmed,18,0,0
2005,October,Oregon,Restaurant,Other Food,,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,64,1,0
2005,April,Multistate,Private Home/Residence,"Ground Beef, Hamburger",,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,60,11,
2005,August,New York,Prison/Jail,,,"Escherichia coli, Shiga toxin-producing",Escherichia,O45,Confirmed,52,3,0
2005,September,Multistate,,"Lettuce, Prepackaged",,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,34,12,
2005,August,Ohio,Restaurant; Catering Service,Fruit Salad,,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,18,6,1
2005,November,Multistate,Private Home/Residence,"Whole Milk, Unpasteurized",,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,18,5,0
2005,September,Washington,Nursing Home/Assisted Living Facility,,,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,14,5,2
2005,October,Multistate,,"Lettuce, Prepackaged; Grapes, Green",,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,12,4,0
2005,October,Washington,Restaurant,Caesar Salad,,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,9,1,0
2005,January,Connecticut,Private Home/Residence,"Ground Beef, Unspecified",Beef,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,7,3,0
2005,August,Georgia,Private Home/Residence,"Ground Beef, Hamburger",Beef,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,6,1,0
2005,February,Alaska,Unknown,,,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,4,2,0
2005,September,Washington,Restaurant,"Parsley, Unspecified; House Salad",,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,4,2,0
2005,January,Arkansas,Private Home/Residence,"Beef, Jerky",Beef,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,3,3,0
2005,May,Alaska,Unknown,,,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,3,1,0
2005,May,Washington,Restaurant,"Salsa, Unspecified",,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,3,1,0
2005,October,New York,Private Home/Residence,"Ground Beef, Hamburger",Ground Beef,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,3,0,0
2005,January,New York,Private Home/Residence,"Ground Beef, Hamburger",Beef,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,2,2,0
2005,September,Washington,Unknown,"Parsley, Unspecified; House Salad",,"Escherichia coli, Shiga toxin-producing",Escherichia,O157:H7,Confirmed,2,2,0
2005,August,New York,Camp,Unspecified Vegetables,,Giardia intestinalis,Giardia,,Confirmed,50,0,0
2005,July,New York,Private Home/Residence,Ice Tea,Water Based (Eg. Drink Mix),Heavy metals,Heavy,,Confirmed,6,0,0
2005,November,Florida,Restaurant; Private Home/Residence,"Fish, Swordfish; Fish, Tuna; Seabass, Unspecified",,Heavy metals,Heavy,,Confirmed,2,0,0
2005,August,Multistate,Restaurant,"Oysters, Raw","Oysters, Raw",Hepatitis A,Hepatitis,,Confirmed,39,3,0
2005,March,Tennessee,Restaurant,Tomato (See Fruit),,Hepatitis A,Hepatitis,,Confirmed,23,9,0
2005,October,California,Restaurant,Unspecified Vegetables,,Hepatitis A,Hepatitis,,Confirmed,16,2,0
2005,June,New York,Unknown,,,Hepatitis A,Hepatitis,,Confirmed,9,3,0
2005,May,Tennessee,Restaurant,,,Hepatitis A,Hepatitis,,Confirmed,7,0,0
2005,November,California,Restaurant,Unspecified Vegetables,"Vegetables, Unspecified",Hepatitis A,Hepatitis,,Confirmed,5,0,0
2005,April,Pennsylvania,Unknown,"Fish, Escolar",,Histamine,Histamine,,Confirmed,8,,
2005,June,Multistate,,"Deli Meat, Sliced Turkey",Turkey,Listeria monocytogenes,Listeria,,Confirmed,13,13,1
2005,June,Texas,,"Queso Fresco, Unpasteurized",,Listeria monocytogenes,Listeria,,Confirmed,12,12,0
2005,July,New York,Restaurant; Private Home/Residence,,,Listeria monocytogenes,Listeria,,Confirmed,6,6,0
2005,October,New York,Restaurant; Private Home/Residence; Grocery Store,"Chicken, Grilled",Chicken,Listeria monocytogenes,Listeria,,Confirmed,3,3,0
2005,October,Illinois,,"Pineapple, Unspecified",,Mycotoxins,Mycotoxins,,Suspected,25,0,0
2005,October,Illinois,,"Fruit Juice, Unspecified",,Mycotoxins,Mycotoxins,,Suspected,21,1,0
2005,October,New York,Private Home/Residence,Mushrooms,Fungus,Mycotoxins,Mycotoxins,,Confirmed,4,2,0
2005,July,Florida,Private Home/Residence,"Clams, Steamed",,Neurotoxic shellfish poison,Neurotoxic,,Confirmed,4,4,0
2005,January,Georgia,,,,Norovirus genogroup I,Norovirus,,Confirmed,200,0,0
2005,January,Pennsylvania,,,,Norovirus genogroup I,Norovirus,GI_1,Suspected,150,3,0
2005,May,Minnesota,Banquet Facility,"Chicken, Unspecified; Pineapple, Unspecified",,Norovirus genogroup I,Norovirus,,Suspected,125,0,0
2005,May,Michigan,Restaurant,"Sandwich, Deli",,Norovirus genogroup I,Norovirus,,Confirmed,124,0,0
2005,July,Utah,Catering Service,Mixed Fruit; Green Salad,,Norovirus genogroup I,Norovirus,,Confirmed,121,,0
2005,October,Pennsylvania,,Potato Salad,Root (Eg. Potato); Sauces/ Dressings,Norovirus genogroup I,Norovirus,,Confirmed,118,,
2005,May,Tennessee,School/College/University,,,Norovirus genogroup I,Norovirus,GI_1,Confirmed,113,0,0
2005,November,Ohio,Banquet Facility,,,Norovirus genogroup I,Norovirus,,Confirmed,110,0,0
2005,January,Massachusetts,Restaurant,,,Norovirus genogroup I,Norovirus,,Suspected,100,0,0
2005,February,Florida,Restaurant,Green Leaf Lettuce,,Norovirus genogroup I,Norovirus,,Suspected,91,,
2005,December,California,Restaurant; Banquet Facility,Multiple Foods,,Norovirus genogroup I,Norovirus,,Confirmed,90,0,0
2005,February,Ohio,Banquet Facility,,,Norovirus genogroup I,Norovirus,,Confirmed,86,0,0
2005,June,Georgia,Restaurant,Coleslaw,,Norovirus genogroup I,Norovirus,,Confirmed,80,0,0
2005,December,Minnesota,Restaurant,,,Norovirus genogroup I,Norovirus,,Confirmed,76,0,0
2005,May,Louisiana,Unknown,"Salad, Unspecified",,Norovirus genogroup I,Norovirus,,Suspected,65,0,0
2005,April,Massachusetts,School/College/University,,,Norovirus genogroup I,Norovirus,,Confirmed,61,0,0
2005,January,Washington,Catering Service,,,Norovirus genogroup I,Norovirus,,Suspected,60,0,0
2005,April,North Carolina,Restaurant; Private Home/Residence; School/College/University,,,Norovirus genogroup I,Norovirus,,Suspected,60,0,0
2005,April,California,Restaurant,"Salad, Unspecified",,Norovirus genogroup I,Norovirus,,Confirmed,55,0,0
2005,May,Michigan,Private Home/Residence,"Macaroni Salad; Roast Beef, Unspecified",,Norovirus genogroup I,Norovirus,,Confirmed,55,0,0
2005,July,Kansas,Catering Service,Potato Salad,,Norovirus genogroup I,Norovirus,,Confirmed,54,0,0
2005,April,Iowa,Restaurant,Fruit Salad,,Norovirus genogroup I,Norovirus,,Confirmed,52,0,0
2005,May,North Dakota,School/College/University,"Lettuce, Unspecified; Ranch Dressing",,Norovirus genogroup I,Norovirus,,Confirmed,52,0,0
2005,July,California,Nursing Home/Assisted Living Facility,,,Norovirus genogroup I,Norovirus,,Confirmed,52,0,0
2005,September,California,Catering Service,"Sandwich, Roast Beef",,Norovirus genogroup I,Norovirus,,Confirmed,50,1,0
2005,October,Washington,,"Oysters, Raw",,Norovirus genogroup I,Norovirus,,Confirmed,49,0,0
2005,November,Illinois,Restaurant,,,Norovirus genogroup I,Norovirus,,Confirmed,48,2,0
2005,December,Oregon,Unknown,,,Norovirus genogroup I,Norovirus,,Confirmed,47,0,0
2005,October,Illinois,Private Home/Residence; Catering Service,"Green Salad; Chicken, Other",,Norovirus genogroup I,Norovirus,,Suspected,45,1,0
2005,January,Idaho,Restaurant,"Guacamole, Unspecified; Chips And Salsa",,Norovirus genogroup I,Norovirus,,Confirmed,44,0,0
2005,June,New Hampshire,Restaurant,,,Norovirus genogroup I,Norovirus,,Suspected,44,0,0
2005,October,Illinois,School/College/University,,,Norovirus genogroup I,Norovirus,,Confirmed,43,0,0
2005,January,California,Restaurant,"Burrito, Unspecified",,Norovirus genogroup I,Norovirus,,Suspected,40,0,0
2005,April,New Hampshire,Catering Service,Pasta Salad,,Norovirus genogroup I,Norovirus,,Suspected,40,0,0
2005,August,Georgia,,Strawberries,"Fruit, Unspecified",Norovirus genogroup I,Norovirus,,Confirmed,40,0,0
2005,January,Oregon,Prison/Jail,,,Norovirus genogroup I,Norovirus,,Confirmed,39,0,0
2005,April,Ohio,Restaurant,,,Norovirus genogroup I,Norovirus,,Confirmed,39,0,0
2005,September,Minnesota,Office/Indoor Workplace,"Salad Bar; Sandwich, Unspecified",,Norovirus genogroup I,Norovirus,,Confirmed,39,0,0
2005,February,North Carolina,Child Daycare,,,Norovirus genogroup I,Norovirus,,Confirmed,38,1,0
2005,March,Michigan,Private Home/Residence; Catering Service,,,Norovirus genogroup I,Norovirus,,Confirmed,38,0,0
